aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
1,GROENTE & FRUIT,abrikozen,15,6,1.99,vers,1.00,Zongedroogde abrikozen | PLUS Abrikozen | Abrikozen verpakt
1,GROENTE & FRUIT,munt,14,6,0.99,vers,1.00,Verse munt | Neutraal Munt zakje | AH Munt
1,GROENTE & FRUIT,courgette,14,6,0.49,vers,1.00,Courgette | Nederlandse courgette | PLUS Courgette groen
1,GROENTE & FRUIT,spitskool,14,6,0.98,vers,1.00,1 de Beste Spitskool | Gesneden spitskool | PLUS Spitskool kvp
1,GROENTE & FRUIT,aubergine,13,6,0.49,vers,1.00,Aubergine | Aubergine | PLUS Aubergine
1,GROENTE & FRUIT,witlof,13,6,1.19,vers,1.00,Witlof verpakt | PLUS Witlof | Witlof
1,GROENTE & FRUIT,bleekselderij,12,6,1.25,vers,1.00,Bleekselderij | Bleekselderij | Jumbo Bleekselderij
1,GROENTE & FRUIT,gember,12,6,1.19,vers,1.00,AH Biologisch Gember los | AH Ginger strawberry verse gember appel | PLUS Gember los
1,GROENTE & FRUIT,koriander,11,6,0.69,vers,1.00,Koriander | Neutraal Koriander zakje | Neutraal Koriander
1,GROENTE & FRUIT,basilicum,11,6,0.89,vers,1.00,Basilicum | Neutraal Basilicum zakje | basilicum
1,GROENTE & FRUIT,puntpaprika,10,6,1.69,vers,1.00,Zoete puntpaprika's | rode puntpaprika's | 1 de Beste Zoete puntpaprika rood
1,GROENTE & FRUIT,mandarijnen,10,6,1.99,vers,1.00,Mandarijnen | Jumbo Mandarijnen1 kg | AH Mandarijnen
1,GROENTE & FRUIT,haricots verts,10,6,1.35,vers,1.00,PLUS Haricots verts | AH Haricot verts | Haricots verts
1,GROENTE & FRUIT,veldsla,10,6,1.19,vers,1.00,Veldsla | 1 de Beste Veldsla | PLUS Luxe sla veldsla
1,GROENTE & FRUIT,radijs,9,6,0.79,vers,1.00,AH Radijs | Jumbo Radijs 200 g | Radijs
1,GROENTE & FRUIT,rode kool met appel,9,6,0.37,bewerkt,0.22,Rode kool met appel | AH Rode kool met appel | Jumbo Rode Kool met Appel 680 g
1,GROENTE & FRUIT,citroenen,9,6,0.79,vers,1.00,PLUS Citroenen los | 1 de Beste Citroenen verpakt | Citroenen
1,GROENTE & FRUIT,broccoliroosjes,9,6,1.00,vers,1.00,PLUS Broccoliroosjes | AH Broccoliroosjes | Bonduelle Broccoliroosjes
1,GROENTE & FRUIT,bospeen,8,6,1.39,vers,1.00,Bospeen | PLUS Bospeen | Bospeen
1,GROENTE & FRUIT,dille,6,6,0.99,vers,1.00,Dille | Dille | Neutraal Dille zakje
1,GROENTE & FRUIT,knijpfruit,119,5,0.99,bewerkt,0.01,AH Knijpfruit appel wortel spinazie 6m+ | Bonbebe knijp appel wortel +4m | AH Biologisch Knijpfruit mango 6+
1,GROENTE & FRUIT,salade,48,5,1.78,bewerkt,0.00,Fresh & easy Salade komkommer tomaat | Jumbo Vegetarische Salade 450 g | Jumbo Salade Mango Curry 150 g
1,GROENTE & FRUIT,rauwkost,41,5,0.99,vers,0.71,Bieze Rauwkost farmer | Bieze Rauwkost coleslaw | Bieze Rauwkost vier seizoenen
1,GROENTE & FRUIT,babyvoeding,23,5,0.89,bewerkt,0.04,Bonbebe Bio M0414 Pompoen | AH Biologisch Pompoen 4m+ | Bonbébé F1207 bio perzik appel mango
1,GROENTE & FRUIT,avocado,19,5,1.00,vers,1.00,PLUS Avocado | Avocado | AH Avocado
1,GROENTE & FRUIT,rode kool,17,5,0.42,vers,1.00,PLUS Rode kool | Rode kool | AH Rode kool met appel
1,GROENTE & FRUIT,kersen,15,5,1.59,vers,1.00,PLUS Kersen zonder pit | 1 de Beste Kersen zonder pit | PLUS Kersen zonder pit
1,GROENTE & FRUIT,granaatappelpitjes,13,5,1.99,vers,0.92,AH Doosje met granaatappelpitjes | 1 de Beste Granaatappelpitjes | Spar granaatappel pitjes 90 gram
1,GROENTE & FRUIT,bloemkoolroosjes,13,5,1.00,vers,1.00,PLUS Bloemkoolroosjes | AH Bloemkoolroosjes | PLUS Bloemkoolroosjes
